,Positive distance,Negative distance
1953,7.5906143,28.04581
1954,4.80653,14.114588
1955,5.3332467,14.61993
1956,3.4903996,15.642118
1957,2.7445698,18.911787
1958,5.150403,17.789085
1959,4.955743,23.75881
1960,4.4007683,21.384573
1961,1.6421828,17.307844
1962,4.5244684,19.623276
1963,6.2129016,20.461933
1964,8.02364,23.07757
1965,3.2263806,16.077051
1966,5.2180986,10.840862
1967,2.8300028,31.878386
1968,3.4092839,13.2001
1969,3.8351355,15.616341
1970,4.6206455,12.271988
1971,6.3755484,13.0427065
1972,5.324038,30.132887
1973,4.4765053,22.427238
1974,6.0067906,10.165834
1975,6.2542553,15.764784
1976,3.1150856,15.671091
1977,3.3259676,16.482292
1978,5.4511847,12.742168
1979,8.0543785,14.70288
1980,3.7888806,15.544072
1981,4.5086327,13.169614
1982,6.344408,16.250746
1983,6.746415,14.324766
1984,3.84974,26.426292
1985,2.9887028,9.719803
1986,3.8009155,17.437006
1987,5.365347,17.976688
1988,3.607975,17.846203
1989,4.0418577,15.076769
1990,4.004554,16.816553
1991,3.5455222,25.973694
1992,4.40616,28.401411
1993,6.7322826,18.45345
1994,7.1104345,21.623146
1995,6.2509413,17.799969
1996,5.6068206,20.562634
1997,6.38062,29.937677
1998,7.034668,13.58927
1999,2.4386508,10.714564
2000,5.759482,20.33117
2001,4.7841387,21.213005
2002,5.4215555,19.674034
2003,5.322812,26.845871
2004,6.054215,14.792857
2005,2.7173216,18.305058
2006,4.100191,19.57955
2007,5.165784,13.774097
2008,3.7115097,13.867117
2009,3.8564925,14.076481
2010,4.131083,14.18561
2011,3.812632,16.310661
2012,5.4387326,19.583488
2013,2.870459,22.69754
2014,6.819462,21.239616
2015,2.6668477,8.958468
2016,4.5519133,13.553198
2017,5.558607,27.295586
2018,2.6131353,28.073973
2019,3.5653522,20.006674
2020,6.362687,22.10166
2021,7.1838775,19.252115
2022,2.48241,22.272406
2023,3.8833067,19.8559
2024,6.2757635,10.446346
2025,9.236494,13.933641
2026,1.999641,16.300728
2027,7.2097144,22.47826
2028,6.523958,20.456438
2029,3.3728507,10.199713
2030,3.6117299,20.888866
2031,4.79331,20.39206
2032,4.539613,19.383614
2033,9.166513,26.094158
2034,6.6644154,25.908592
2035,5.048612,14.804157
2036,1.6347322,23.762707
2037,5.091245,21.982807
2038,3.257286,20.126934
2039,3.623526,11.01198
2040,7.2780037,17.620226
2041,5.5624104,16.465637
2042,4.9895678,23.199654
2043,3.2680287,14.5919
2044,4.8179426,26.77374
2045,2.4136477,10.609428
2046,3.6022155,18.626362
2047,3.606092,8.460636
2048,3.7288518,25.285015
2049,4.4388437,21.5003
2050,3.710299,17.314785
2051,3.9835148,22.210438
2052,4.877029,22.18364
2053,5.2707434,26.835814
2054,6.029873,21.334621
2055,3.8641634,14.944183
2056,2.9033427,26.454401
2057,7.728142,19.826176
2058,7.363564,19.51493
2059,7.222849,27.307705
2060,3.2614527,9.436223
2061,6.6810474,19.954945
2062,4.62673,20.11261
2063,6.2977276,20.886202
2064,5.205517,18.894835
2065,2.528934,15.105244
2066,6.655938,15.011848
2067,4.272558,18.624466
2068,5.5466137,22.928856
2069,4.9979367,29.983212
2070,7.1187973,17.353891
2071,4.5362515,22.707256
2072,3.4320445,34.92691
2073,5.541243,27.154282
2074,5.0510387,18.90237
2075,0.34664965,21.829077
2076,7.359252,16.837564
2077,4.425728,19.208952
2078,4.208433,13.414088
2079,4.7180405,13.319948
2080,5.7144027,29.690228
2081,2.7726326,14.419903
2082,8.420134,20.274696
2083,2.4055963,9.196379
2084,2.566629,16.436176
2085,9.29793,17.231636
2086,5.0678577,19.592773
2087,4.577075,19.63438
2088,8.325233,23.722233
2089,0.64434844,20.494617
2090,6.742982,25.344332
2091,5.8965187,17.884483
2092,4.04745,13.948047
2093,5.4893765,14.044694
2094,3.8150716,16.581005
2095,3.0026731,14.45039
2096,6.052725,24.812174
2097,3.5953043,11.637021
2098,5.316568,13.692541
2099,5.4477386,20.609722
2100,5.104741,11.272964
2101,4.849122,20.838467
2102,4.265003,15.008423
2103,4.3673553,17.438553
2104,3.0432434,24.015343
2105,6.917481,12.383083
2106,2.828809,16.074852
2107,8.208033,16.741245
2108,4.6253033,9.21539
2109,6.9365463,18.587755
2110,5.8625083,20.23045
2111,4.3593817,16.695719
2112,7.5410595,26.141102
2113,3.759475,25.811655
2114,6.404497,18.81166
2115,2.5486264,16.281433
2116,5.6614323,21.199291
2117,4.2678375,20.35953
2118,4.3867874,6.0022535
2119,8.283608,23.464287
2120,4.914043,18.237892
2121,6.7910633,13.010886
2122,4.720277,23.110573
2123,5.8293867,21.836266
2124,5.7415247,14.083943
2125,6.376699,15.573618
2126,2.306914,21.385563
2127,2.0582547,12.737512
2128,2.8045297,21.545803
2129,3.8567777,18.116203
2130,3.4097505,22.39307
2131,3.2445908,18.191017
2132,3.9943051,14.011759
2133,6.35419,17.622618
2134,3.6085162,17.615871
2135,5.567709,15.006826
2136,6.5640583,29.647717
2137,4.0981073,21.65885
2138,3.6548555,22.075577
2139,5.454649,20.445875
2140,6.7894397,25.302273
2141,3.0904546,27.737438
2142,2.062896,19.432034
2143,4.4649916,15.77632
2144,4.833092,17.172144
2145,6.3551655,26.040264
2146,3.5252476,27.00834
2147,9.780561,23.091255
2148,2.165357,18.823685
